protein_uniprot_id	protein_name	protein_sequence
000001	name1	seq1
000002	name2	seq2
000003	name3	seq3
000004	name4	seq4
000005	name5	seq5
000006	name6	seq6
000007	name7	seq7
000008	name8	seq8
000009	name9	seq9
000010	name10	seq10
000011	name11	seq11
000012	name12	seq12
000013	name13	seq13
000014	name14	seq14
000015	name15	seq15
000016	name16	seq16
000017	name17	seq17
000018	name18	seq18
000019	name19	seq19
000020	name20	seq20
000021	name21	seq21
000022	name22	seq22
000023	name23	seq23
000024	name24	seq24
000025	name25	seq25
000026	name26	seq26
000027	name27	seq27
000028	name28	seq28
000029	name29	seq29
000030	name30	seq30
000031	name31	seq31
000032	name32	seq32
000033	name33	seq33
000034	name34	seq34
000035	name35	seq35
000036	name36	seq36
000037	name37	seq37
000038	name38	seq38
000039	name39	seq39
000040	name40	seq40
000041	name41	seq41
000042	name42	seq42
000043	name43	seq43
000044	name44	seq44
000045	name45	seq45
000046	name46	seq46
000047	name47	seq47
000048	name48	seq48
000049	name49	seq49
000050	name50	seq50
000051	name51	seq51
000052	name52	seq52
000053	name53	seq53
000054	name54	seq54
000055	name55	seq55
000056	name56	seq56
000057	name57	seq57
000058	name58	seq58
000059	name59	seq59
000060	name60	seq60
000061	name61	seq61
000062	name62	seq62
000063	name63	seq63
000064	name64	seq64
000065	name65	seq65
000066	name66	seq66
000067	name67	seq67
000068	name68	seq68
000069	name69	seq69
000070	name70	seq70
000071	name71	seq71
000072	name72	seq72
000073	name73	seq73
000074	name74	seq74
000075	name75	seq75
000076	name76	seq76
000077	name77	seq77
000078	name78	seq78
000079	name79	seq79
000080	name80	seq80
000081	name81	seq81
000082	name82	seq82
000083	name83	seq83
000084	name84	seq84
000085	name85	seq85
000086	name86	seq86
000087	name87	seq87
000088	name88	seq88
000089	name89	seq89
000090	name90	seq90
000091	name91	seq91
000092	name92	seq92
000093	name93	seq93
000094	name94	seq94
000095	name95	seq95
000096	name96	seq96
000097	name97	seq97
000098	name98	seq98
000099	name99	seq99
